architecture,control,seed,class,support,positive_ROIs,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_conditional_accuracy,dominant_FN,dominant_FP,TP,FP,FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1,recall_delta_vs_A1,F1_delta_vs_A1
A6,real,17,epithelium,24,24,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.9333333333333333,0.46,tumor,tumor,14,10,10,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.08865248226950355,0.09929078014184398,0.09219858156028368,0.0,0.0
A6,real,17,endothelium,24,24,0.19047619047619047,0.3333333333333333,0.24242424242424243,0.8333333333333334,0.46,tumor,stroma,8,34,16,0.19047619047619047,0.3333333333333333,0.24242424242424246,0.0425531914893617,0.05673758865248227,0.04728132387706856,0.04166666666666663,0.01291604570293095
A6,real,17,apoptosis,24,23,0.45,0.375,0.4090909090909091,0.9133333333333333,0.46,tumor,tumor,9,11,16,0.45,0.36,0.39999999999999997,0.05200945626477541,0.05673758865248227,0.05319148936170213,0.08333333333333331,0.08350951374207188
A6,real,29,tumor,71,57,0.5535714285714286,0.43661971830985913,0.4881889763779528,0.7833333333333333,0.44333333333333336,melanophage,apoptosis,31,25,40,0.5535714285714286,0.43661971830985913,0.4881889763779527,0.17375886524822695,0.18085106382978725,0.17494089834515367,-0.04225352112676056,-0.03488794669897033
A6,real,29,lymphocyte,37,32,0.5454545454545454,0.4864864864864865,0.5142857142857142,0.8866666666666667,0.44333333333333336,plasma_cell,histiocyte,18,15,19,0.5454545454545454,0.4864864864864865,0.5142857142857143,0.08274231678486998,0.09692671394799054,0.08699763593380613,0.10810810810810811,0.1458646616541353
A6,real,29,plasma_cell,24,22,0.35714285714285715,0.4166666666666667,0.38461538461538464,0.8933333333333333,0.44333333333333336,tumor,lymphocyte,10,18,14,0.35714285714285715,0.4166666666666667,0.3846153846153846,0.04373522458628841,0.05673758865248227,0.04822695035460993,0.041666666666666685,0.05128205128205132
A6,real,29,histiocyte,24,23,0.3076923076923077,0.3333333333333333,0.32,0.8866666666666667,0.44333333333333336,lymphocyte,lymphocyte,8,18,16,0.3076923076923077,0.3333333333333333,0.32,0.05319148936170213,0.05673758865248227,0.054373522458628844,0.04166666666666663,0.07438596491228072
A6,real,29,melanophage,24,24,0.4883720930232558,0.875,0.6268656716417911,0.9166666666666666,0.44333333333333336,tumor,tumor,21,22,3,0.4883720930232558,0.875,0.6268656716417911,0.12293144208037825,0.14893617021276595,0.13120567375886524,0.125,0.01669618011636731
A6,real,29,neutrophil,24,24,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.9333333333333333,0.44333333333333336,tumor,apoptosis,13,9,11,0.5909090909090909,0.5416666666666666,0.5652173913043478,0.0839243498817967,0.09219858156028368,0.08628841607565012,0.04166666666666663,-0.006211180124223614
A6,real,29,stroma,24,24,0.25,0.3333333333333333,0.2857142857142857,0.8666666666666667,0.44333333333333336,histiocyte,endothelium,8,24,16,0.25,0.3333333333333333,0.28571428571428575,0.04964539007092199,0.05673758865248227,0.05200945626477541,0.04166666666666663,0.011204481792717047
A6,real,29,epithelium,24,24,0.5769230769230769,0.625,0.6,0.9333333333333333,0.44333333333333336,tumor,tumor,15,11,9,0.5769230769230769,0.625,0.6,0.09929078014184398,0.10638297872340426,0.10165484633569741,0.04166666666666663,0.016666666666666607
A6,real,29,endothelium,24,24,0.3125,0.20833333333333334,0.25,0.9,0.44333333333333336,stroma,stroma,5,11,19,0.3125,0.20833333333333334,0.25,0.02718676122931442,0.03546099290780142,0.029550827423167843,0.0,-0.0064102564102563875
A6,real,29,apoptosis,24,23,0.2222222222222222,0.16666666666666666,0.19047619047619047,0.8866666666666667,0.44333333333333336,tumor,tumor,4,14,21,0.2222222222222222,0.16,0.18604651162790697,0.028368794326241134,0.028368794326241134,0.028368794326241134,-0.08333333333333334,-0.08225108225108224
A6,real,43,tumor,71,57,0.5471698113207547,0.4084507042253521,0.46774193548387094,0.78,0.42,epithelium,plasma_cell,29,24,42,0.5471698113207547,0.4084507042253521,0.467741935483871,0.1702127659574468,0.1678486997635934,0.16643026004728134,-0.07042253521126757,-0.03596176821983271
A6,real,43,lymphocyte,37,32,0.5454545454545454,0.4864864864864865,0.5142857142857142,0.8866666666666667,0.42,histiocyte,histiocyte,18,15,19,0.5454545454545454,0.4864864864864865,0.5142857142857143,0.08747044917257683,0.1016548463356974,0.09219858156028368,0.0,0.04675324675324671
A6,real,43,plasma_cell,24,22,0.3684210526315789,0.2916666666666667,0.32558139534883723,0.9033333333333333,0.42,tumor,lymphocyte,7,12,17,0.3684210526315789,0.2916666666666667,0.32558139534883723,0.026004728132387706,0.03546099290780142,0.029314420803782503,0.0,0.0
A6,real,43,histiocyte,24,23,0.28,0.2916666666666667,0.2857142857142857,0.8833333333333333,0.42,lymphocyte,lymphocyte,7,18,17,0.28,0.2916666666666667,0.2857142857142857,0.04137115839243499,0.04609929078014184,0.04302600472813239,0.12500000000000003,0.10389610389610388
A6,real,43,melanophage,24,24,0.5483870967741935,0.7083333333333334,0.6181818181818182,0.93,0.42,tumor,tumor,17,14,7,0.5483870967741935,0.7083333333333334,0.6181818181818182,0.11229314420803782,0.12056737588652482,0.11465721040189124,0.0,-0.048484848484848464
A6,real,43,neutrophil,24,24,0.6111111111111112,0.4583333333333333,0.5238095238095238,0.9333333333333333,0.42,apoptosis,apoptosis,11,7,13,0.6111111111111112,0.4583333333333333,0.5238095238095238,0.06973995271867613,0.07801418439716312,0.07210401891252954,-0.20833333333333331,-0.1428571428571428
A6,real,43,stroma,24,24,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.8533333333333334,0.42,endothelium,histiocyte,8,28,16,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.04609929078014184,0.05673758865248227,0.04964539007092199,0.04166666666666663,-0.013333333333333364
A6,real,43,epithelium,24,24,0.4838709677419355,0.625,0.5454545454545454,0.9166666666666666,0.42,tumor,tumor,15,16,9,0.4838709677419355,0.625,0.5454545454545454,0.09574468085106383,0.10638297872340426,0.09929078014184398,0.08333333333333337,0.014842300556586197
A6,real,43,endothelium,24,24,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.8866666666666667,0.42,stroma,stroma,7,17,17,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.03782505910165485,0.04964539007092199,0.04137115839243499,0.0,0.005952380952380987
A6,real,43,apoptosis,24,23,0.23333333333333334,0.2916666666666667,0.25925925925925924,0.8666666666666667,0.42,neutrophil,tumor,7,23,18,0.23333333333333334,0.28,0.2545454545454545,0.044917257683215125,0.04609929078014184,0.04373522458628842,-0.04166666666666663,-0.037037037037037035
A6,shuffle,17,tumor,71,57,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.8066666666666666,0.43333333333333335,melanophage,epithelium,42,29,29,0.5915492957746479,0.5915492957746479,0.5915492957746479,0.23640661938534274,0.2458628841607565,0.23380614657210402,0.0,0.012238950947061622
A6,shuffle,17,lymphocyte,37,32,0.4,0.3783783783783784,0.3888888888888889,0.8533333333333334,0.43333333333333335,histiocyte,histiocyte,14,21,23,0.4,0.3783783783783784,0.3888888888888889,0.06619385342789598,0.07801418439716312,0.07044917257683216,-0.1351351351351351,-0.1111111111111111
A6,shuffle,17,plasma_cell,24,22,0.35294117647058826,0.25,0.2926829268292683,0.9033333333333333,0.43333333333333335,tumor,tumor,6,11,18,0.35294117647058826,0.25,0.2926829268292683,0.028368794326241134,0.031914893617021274,0.029550827423167843,0.04166666666666666,0.042682926829268275
A6,shuffle,17,histiocyte,24,23,0.13636363636363635,0.125,0.13043478260869565,0.8666666666666667,0.43333333333333335,lymphocyte,lymphocyte,3,19,21,0.13636363636363635,0.125,0.13043478260869565,0.02127659574468085,0.02127659574468085,0.02127659574468085,-0.125,-0.10956521739130434
A6,shuffle,17,melanophage,24,24,0.6060606060606061,0.8333333333333334,0.7017543859649122,0.9433333333333334,0.43333333333333335,tumor,tumor,20,13,4,0.6060606060606061,0.8333333333333334,0.7017543859649124,0.1276595744680851,0.14184397163120568,0.13238770685579196,0.125,0.10526315789473684
A6,shuffle,17,neutrophil,24,24,0.6,0.5,0.5454545454545454,0.9333333333333333,0.43333333333333335,endothelium,apoptosis,12,8,12,0.6,0.5,0.5454545454545454,0.0726950354609929,0.0851063829787234,0.07612293144208038,0.0,-0.039911308203991136
A6,shuffle,17,stroma,24,24,0.2222222222222222,0.08333333333333333,0.12121212121212122,0.9033333333333333,0.43333333333333335,endothelium,endothelium,2,7,22,0.2222222222222222,0.08333333333333333,0.12121212121212122,0.010638297872340425,0.014184397163120567,0.01182033096926714,-0.08333333333333333,-0.0839160839160839
A6,shuffle,17,epithelium,24,24,0.5769230769230769,0.625,0.6,0.9333333333333333,0.43333333333333335,tumor,tumor,15,11,9,0.5769230769230769,0.625,0.6,0.09219858156028368,0.10638297872340426,0.09692671394799056,0.04166666666666663,0.016666666666666607
A6,shuffle,17,endothelium,24,24,0.18604651162790697,0.3333333333333333,0.23880597014925373,0.83,0.43333333333333335,lymphocyte,stroma,8,35,16,0.18604651162790697,0.3333333333333333,0.2388059701492537,0.041371158392434985,0.05673758865248227,0.04609929078014184,0.04166666666666663,0.009297773427942246
A6,shuffle,17,apoptosis,24,23,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8933333333333333,0.43333333333333335,tumor,tumor,8,16,17,0.3333333333333333,0.32,0.32653061224489793,0.044917257683215125,0.04964539007092199,0.04609929078014184,0.04166666666666663,0.007751937984496082
A6,shuffle,29,tumor,71,57,0.5471698113207547,0.4084507042253521,0.46774193548387094,0.78,0.43333333333333335,melanophage,apoptosis,29,24,42,0.5471698113207547,0.4084507042253521,0.467741935483871,0.1702127659574468,0.17139479905437352,0.16879432624113475,-0.07042253521126757,-0.055334987593052165
A6,shuffle,29,lymphocyte,37,32,0.4444444444444444,0.43243243243243246,0.4383561643835616,0.8633333333333333,0.43333333333333335,plasma_cell,histiocyte,16,20,21,0.4444444444444444,0.43243243243243246,0.4383561643835616,0.07092198581560286,0.08747044917257682,0.0756501182033097,0.05405405405405406,0.06993511175198269
A6,shuffle,29,plasma_cell,24,22,0.2571428571428571,0.375,0.3050847457627119,0.8633333333333333,0.43333333333333335,tumor,tumor,9,26,15,0.2571428571428571,0.375,0.30508474576271183,0.034869976359338056,0.04964539007092199,0.039243498817966904,0.0,-0.02824858757062143
A6,shuffle,29,histiocyte,24,23,0.2631578947368421,0.20833333333333334,0.23255813953488372,0.89,0.43333333333333335,lymphocyte,lymphocyte,5,14,19,0.2631578947368421,0.20833333333333334,0.23255813953488372,0.031914893617021274,0.03546099290780142,0.03309692671394799,-0.08333333333333334,-0.013055895552835567
A6,shuffle,29,melanophage,24,24,0.4782608695652174,0.9166666666666666,0.6285714285714286,0.9133333333333333,0.43333333333333335,tumor,tumor,22,24,2,0.4782608695652174,0.9166666666666666,0.6285714285714286,0.13002364066193853,0.15602836879432624,0.13829787234042554,0.16666666666666663,0.01840193704600479
A6,shuffle,29,neutrophil,24,24,0.625,0.625,0.625,0.94,0.43333333333333335,tumor,apoptosis,15,9,9,0.625,0.625,0.625,0.09810874704491726,0.10638297872340426,0.10047281323877068,0.125,0.0535714285714286
A6,shuffle,29,stroma,24,24,0.2903225806451613,0.375,0.32727272727272727,0.8766666666666667,0.43333333333333335,histiocyte,endothelium,9,22,15,0.2903225806451613,0.375,0.3272727272727273,0.05673758865248227,0.06382978723404255,0.059101654846335686,0.08333333333333331,0.05276292335115862
A6,shuffle,29,epithelium,24,24,0.625,0.625,0.625,0.94,0.43333333333333335,tumor,tumor,15,9,9,0.625,0.625,0.625,0.10283687943262411,0.10638297872340426,0.10401891252955084,0.04166666666666663,0.04166666666666663
A6,shuffle,29,endothelium,24,24,0.375,0.25,0.3,0.9066666666666666,0.43333333333333335,stroma,stroma,6,10,18,0.375,0.25,0.3,0.03546099290780142,0.0425531914893617,0.037825059101654845,0.04166666666666666,0.0435897435897436
A6,shuffle,29,apoptosis,24,23,0.25,0.16666666666666666,0.2,0.8933333333333333,0.43333333333333335,tumor,tumor,4,12,21,0.25,0.16,0.19512195121951217,0.028368794326241134,0.028368794326241134,0.028368794326241134,-0.08333333333333334,-0.0727272727272727
A6,shuffle,43,tumor,71,57,0.5172413793103449,0.4225352112676056,0.46511627906976744,0.77,0.4,apoptosis,plasma_cell,30,28,41,0.5172413793103449,0.4225352112676056,0.46511627906976744,0.17375886524822695,0.17494089834515367,0.17115839243498818,-0.056338028169014065,-0.03858742463393622
A6,shuffle,43,lymphocyte,37,32,0.4722222222222222,0.4594594594594595,0.4657534246575342,0.87,0.4,histiocyte,histiocyte,17,19,20,0.4722222222222222,0.4594594594594595,0.4657534246575342,0.08037825059101655,0.09456264775413711,0.0851063829787234,-0.02702702702702703,-0.001779042874933301
A6,shuffle,43,plasma_cell,24,22,0.3157894736842105,0.25,0.27906976744186046,0.8966666666666666,0.4,tumor,tumor,6,13,18,0.3157894736842105,0.25,0.27906976744186046,0.024822695035460994,0.031914893617021274,0.02718676122931442,-0.041666666666666685,-0.04651162790697677
