id,class,support,semantic_P,semantic_R,semantic_F1,one_vs_rest_accuracy,global_accuracy,V17_TP,V17_FP,V17_FN,pooled_P,pooled_R,pooled_F1,ROI_P,ROI_R,ROI_F1
p3_B4_real_s43_cv1,melanophage,12,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.9357798165137615,0.3944954128440367,8,3,4,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.14583333333333334,0.16666666666666666,0.15277777777777776
p3_B4_real_s43_cv1,neutrophil,11,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.9174311926605505,0.3944954128440367,7,5,4,0.5833333333333334,0.6363636363636364,0.6086956521739131,0.13194444444444445,0.14583333333333334,0.13541666666666666
p3_B4_real_s43_cv1,stroma,8,0.18181818181818182,0.25,0.21052631578947367,0.8623853211009175,0.3944954128440367,2,9,6,0.18181818181818182,0.25,0.2105263157894737,0.041666666666666664,0.041666666666666664,0.041666666666666664
p3_B4_real_s43_cv1,epithelium,7,0.4,0.8571428571428571,0.5454545454545454,0.908256880733945,0.3944954128440367,6,9,1,0.4,0.8571428571428571,0.5454545454545455,0.11458333333333333,0.125,0.11805555555555554
p3_B4_real_s43_cv1,endothelium,9,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.8990825688073395,0.3944954128440367,2,4,7,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.041666666666666664,0.041666666666666664,0.041666666666666664
p3_B4_real_s43_cv1,apoptosis,12,0.3076923076923077,0.3333333333333333,0.32,0.8440366972477065,0.3944954128440367,4,9,8,0.3076923076923077,0.3333333333333333,0.32,0.06944444444444443,0.07291666666666667,0.06597222222222222
p3_B4_real_s43_cv2,tumor,24,0.7,0.5833333333333334,0.6363636363636364,0.8383838383838383,0.5252525252525253,14,6,10,0.7,0.5833333333333334,0.6363636363636365,0.2553191489361702,0.23404255319148937,0.24113475177304966
p3_B4_real_s43_cv2,lymphocyte,18,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8787878787878788,0.5252525252525253,12,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.14893617021276598,0.17730496453900707,0.15886524822695036
p3_B4_real_s43_cv2,plasma_cell,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.898989898989899,0.5252525252525253,2,5,5,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.02127659574468085,0.02127659574468085,0.02127659574468085
p3_B4_real_s43_cv2,histiocyte,7,0.3333333333333333,0.14285714285714285,0.2,0.9191919191919192,0.5252525252525253,1,2,6,0.3333333333333333,0.14285714285714285,0.2,0.02127659574468085,0.02127659574468085,0.02127659574468085
