group_type,group,n,dice_mean,dice_median,dice_finite_n,iou_mean,iou_median,iou_finite_n,area_relative_error_mean,area_relative_error_median,area_relative_error_finite_n,centroid_error_mean,centroid_error_median,centroid_error_finite_n,occupancy_mean,occupancy_median,occupancy_finite_n,quality_confidence_mean,quality_confidence_median,quality_confidence_finite_n,presence_confidence_mean,presence_confidence_median,presence_confidence_finite_n,area_pearson,major_pearson,minor_pearson,eccentricity_pearson,perimeter_pearson,circularity_pearson,confidence_vs_iou_pearson
by_roi,training_set_metastatic_roi_078,2,0.9209191817945577,0.9209191817945577,2,0.8536336504859321,0.8536336504859321,2,0.12444708799678306,0.12444708799678306,2,1.2785033093843263,1.2785033093843263,2,0.09505208333333334,0.09505208333333334,2,0.8719339668750763,0.8719339668750763,2,0.9983446598052979,0.9983446598052979,2,,,,,,,
by_roi,training_set_metastatic_roi_079,3,0.945379034994167,0.95565988523735,3,0.8970371624212544,0.9150849150849151,3,0.016304872087161682,0.01092896174863388,3,1.1591796058992883,1.0538925512973099,3,0.09013310185185186,0.1047092013888889,3,0.864371140797933,0.8489729166030884,3,0.9979436000188192,0.9984277486801147,3,0.9992635064492822,0.8332061056206328,0.9955868632934507,0.9177548131947516,0.998686121326937,0.9995167145076274,0.5607788100969107
by_roi,training_set_metastatic_roi_080,6,0.8427730095792804,0.9306412844113534,6,0.7550528439128773,0.8707510402625565,6,0.21191487151918656,0.07775078903397488,6,2.401552341630577,0.7367523560882813,6,0.03982204861111111,0.032660590277777776,6,0.7227389415105184,0.7726784646511078,6,0.8995835284392039,0.9942063987255096,6,0.8050630168321069,0.8272763248981624,0.736736549686826,-0.124709959978446,0.886624222020455,-0.1532650074724592,0.601278414417131
by_roi,training_set_metastatic_roi_081,1,0.9304274937133278,0.9304274937133278,1,0.8699059561128527,0.8699059561128527,1,0.14954954954954955,0.14954954954954955,1,0.3544572654451098,0.3544572654451098,1,0.06922743055555555,0.06922743055555555,1,0.8887448906898499,0.8887448906898499,1,0.9994674324989319,0.9994674324989319,1,,,,,,,
by_roi,training_set_metastatic_roi_083,1,0.9678842853640598,0.9678842853640598,1,0.9377672209026128,0.9377672209026128,1,0.0344139650872818,0.0344139650872818,1,1.0629286222535033,1.0629286222535033,1,0.2250434027777778,0.2250434027777778,1,0.6739785671234131,0.6739785671234131,1,0.9844949841499329,0.9844949841499329,1,,,,,,,
by_roi,training_set_metastatic_roi_084,1,0.9408450704225352,0.9408450704225352,1,0.8882978723404256,0.8882978723404256,1,0.0943952802359882,0.0943952802359882,1,0.7511552772292632,0.7511552772292632,1,0.04025607638888889,0.04025607638888889,1,0.8625392317771912,0.8625392317771912,1,0.9993942975997925,0.9993942975997925,1,,,,,,,
by_roi,training_set_metastatic_roi_085,2,0.8670649808408657,0.8670649808408657,2,0.7659066598407565,0.7659066598407565,2,0.2445666027180402,0.2445666027180402,2,2.805477860874076,2.805477860874076,2,0.054144965277777776,0.054144965277777776,2,0.7119353115558624,0.7119353115558624,2,0.9771425724029541,0.9771425724029541,2,,,,,,,
by_roi,training_set_metastatic_roi_086,2,0.8141482199103262,0.8141482199103262,2,0.6992228919024499,0.6992228919024499,2,0.21698232323232322,0.21698232323232322,2,1.208697006533562,1.208697006533562,2,0.03152126736111111,0.03152126736111111,2,0.6650578677654266,0.6650578677654266,2,0.8964973986148834,0.8964973986148834,2,,,,,,,
by_roi,training_set_metastatic_roi_087,2,0.9253591724179959,0.9253591724179959,2,0.8613884901199123,0.8613884901199123,2,0.1003645514082008,0.1003645514082008,2,1.18492458304382,1.18492458304382,2,0.07649739583333333,0.07649739583333333,2,0.8116843402385712,0.8116843402385712,2,0.9433235228061676,0.9433235228061676,2,,,,,,,
by_roi,training_set_metastatic_roi_088,1,0.9215358931552587,0.9215358931552587,1,0.8544891640866873,0.8544891640866873,1,0.1624548736462094,0.1624548736462094,1,0.5089924175741817,0.5089924175741817,1,0.03493923611111111,0.03493923611111111,1,0.8659989833831787,0.8659989833831787,1,0.9997122883796692,0.9997122883796692,1,,,,,,,
