family,seed,class,support,predicted_count,precision,recall,f1,ROI_F1,TP,FP,FN,f1_score
A3_broken,43,tumor,71,80,0.4125,0.4647887323943662,0.4370860927152318,0.19078014184397166,33,47,38,0.4370860927152318
A3_broken,43,lymphocyte,37,45,0.28888888888888886,0.35135135135135137,0.3170731707317073,0.07139479905437351,13,32,24,0.31707317073170727
A3_broken,43,plasma_cell,24,21,0.2857142857142857,0.25,0.26666666666666666,0.028132387706855794,6,15,18,0.26666666666666666
A3_broken,43,histiocyte,24,25,0.24,0.25,0.24489795918367346,0.037825059101654845,6,19,18,0.24489795918367346
A3_broken,43,melanophage,24,17,0.4117647058823529,0.2916666666666667,0.34146341463414637,0.044917257683215125,7,10,17,0.34146341463414637
A3_broken,43,neutrophil,24,22,0.36363636363636365,0.3333333333333333,0.34782608695652173,0.05437352245862884,8,14,16,0.34782608695652173
A3_broken,43,stroma,24,25,0.08,0.08333333333333333,0.08163265306122448,0.014184397163120567,2,23,22,0.08163265306122448
A3_broken,43,epithelium,24,21,0.38095238095238093,0.3333333333333333,0.35555555555555557,0.054373522458628844,8,13,16,0.35555555555555557
A3_broken,43,endothelium,24,25,0.12,0.125,0.12244897959183673,0.018912529550827423,3,22,21,0.12244897959183673
A3_broken,43,apoptosis,24,19,0.3157894736842105,0.24,0.27906976744186046,0.037825059101654845,6,13,19,0.2727272727272727
A4,17,tumor,71,63,0.6984126984126984,0.6197183098591549,0.6567164179104478,0.2576832151300237,44,19,27,0.6567164179104478
A4,17,lymphocyte,37,46,0.5434782608695652,0.6756756756756757,0.6024096385542169,0.1356973995271868,25,21,12,0.6024096385542168
A4,17,plasma_cell,24,21,0.42857142857142855,0.375,0.4,0.045862884160756505,9,12,15,0.39999999999999997
A4,17,histiocyte,24,25,0.28,0.2916666666666667,0.2857142857142857,0.044917257683215125,7,18,17,0.2857142857142857
A4,17,melanophage,24,25,0.76,0.7916666666666666,0.7755102040816326,0.13238770685579196,19,6,5,0.7755102040816326
A4,17,neutrophil,24,23,0.7391304347826086,0.7083333333333334,0.723404255319149,0.12056737588652482,17,6,7,0.723404255319149
A4,17,stroma,24,28,0.2857142857142857,0.3333333333333333,0.3076923076923077,0.05200945626477541,8,20,16,0.30769230769230765
A4,17,epithelium,24,25,0.56,0.5833333333333334,0.5714285714285714,0.09456264775413711,14,11,10,0.5714285714285714
A4,17,endothelium,24,28,0.35714285714285715,0.4166666666666667,0.38461538461538464,0.06382978723404255,10,18,14,0.3846153846153846
A4,17,apoptosis,24,16,0.625,0.4,0.5,0.06382978723404255,10,6,15,0.48780487804878053
