id,epoch,objective,train_CE,val_CE,train_semantic_F1,val_semantic_F1,ROI_F1,pooled_F1,accuracy,balanced_accuracy,gap,min_class_exposure,min_positive_target_head_gradient,LR
p3_B4_placebo_s17_cv1,6,0.8496335442153571,0.8485354781150818,1.7176874876022339,0.7693829363139707,0.3517082496487605,0.07701388888888887,0.3517082496487605,0.41284403669724773,0.3930808080808081,0.4176746866652102,13,6.200741580554417,0.001
p3_B4_placebo_s17_cv1,7,0.7444549970601866,0.750407338142395,1.7206517457962036,0.826539568196497,0.3433543123543123,0.07854166666666665,0.34335431235431235,0.41284403669724773,0.3805808080808081,0.4831852558421847,13,10.942970376265677,0.001
p3_B4_placebo_s17_cv1,8,0.6201397455175509,0.6502552032470703,1.7141836881637573,0.8647266099211072,0.36039603874386483,0.08083333333333334,0.36039603874386483,0.42201834862385323,0.3835533910533911,0.5043305711772423,13,10.401634605307327,0.001
p3_B4_placebo_s17_cv1,9,0.5373912494220034,0.5820928812026978,1.6831737756729126,0.8607046286634719,0.3082702262448179,0.07479166666666666,0.3082702262448179,0.3853211009174312,0.3415295815295815,0.5524344024186539,15,9.228049947155846,0.001
p3_B4_placebo_s17_cv1,10,0.491446967992483,0.5156020522117615,1.6879385709762573,0.9047261659049586,0.31478696741854634,0.07430555555555556,0.3147869674185464,0.3944954128440367,0.3455339105339105,0.5899391984864122,13,4.4514517382435175,0.001
p3_B4_placebo_s17_cv2,1,2.41231553708736,2.0858631134033203,2.2431838512420654,0.2695886682158243,0.16459943127048393,0.03873353596757852,0.16350053017158278,0.2222222222222222,0.22484126984126984,0.10498923694534035,17,32.20827674865723,0.001
p3_B4_placebo_s17_cv2,2,1.9414441217830525,1.622962474822998,1.9952913522720337,0.5318354442565122,0.3207988754540479,0.05978723404255319,0.318980693635866,0.3333333333333333,0.3398809523809524,0.2110365688024643,16,24.285256105310776,0.001
p3_B4_placebo_s17_cv2,3,1.55027325710847,1.396047592163086,1.8671342134475708,0.5981377902113195,0.3355369075369075,0.0652127659574468,0.3333391053391053,0.3939393939393939,0.3763095238095238,0.262600882674412,14,22.70089036768133,0.001
p3_B4_placebo_s17_cv2,4,1.2438663060392314,1.1518343687057495,1.7328622341156006,0.6865022223980166,0.4593406593406593,0.0852482269503546,0.4574358974358974,0.494949494949495,0.474484126984127,0.2271615630573573,15,13.970222992055556,0.001
p3_B4_placebo_s17_cv2,5,1.0705308061630572,0.9751359224319458,1.6481823921203613,0.7639806460218496,0.45177634764591285,0.08184397163120566,0.45030575941061873,0.47474747474747475,0.4746031746031746,0.3122042983759367,16,14.050274826231457,0.001
p3_B4_placebo_s17_cv2,6,0.9872269747565635,0.870926558971405,1.6320815086364746,0.788263182617128,0.4801008710048957,0.08709219858156028,0.47834648503998345,0.46464646464646464,0.49873015873015875,0.30816231161223234,16,13.436093582047356,0.001
