prompt,run_id,seed,fold,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion,class_diagnostics
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,train,stroma,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,train,epithelium,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,train,endothelium,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,train,apoptosis,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,tumor,2,1,1.0,0.5,0.6666666666666666,1,0,1,"[[""neutrophil"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,lymphocyte,2,0,0.0,0.0,0.0,0,0,2,"[[""stroma"",2]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,plasma_cell,2,0,0.0,0.0,0.0,0,0,2,"[[""melanophage"",1],[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,histiocyte,2,1,0.0,0.0,0.0,0,1,2,"[[""stroma"",2]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,melanophage,2,3,0.6666666666666666,1.0,0.8,2,1,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,neutrophil,2,3,0.6666666666666666,1.0,0.8,2,1,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,stroma,2,10,0.2,1.0,0.3333333333333333,2,8,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,epithelium,2,1,1.0,0.5,0.6666666666666666,1,0,1,"[[""endothelium"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,endothelium,2,1,0.0,0.0,0.0,0,1,2,"[[""histiocyte"",1],[""stroma"",1]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,4,val,apoptosis,2,0,0.0,0.0,0.0,0,0,2,"[[""stroma"",2]]",NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,tumor,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,lymphocyte,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,plasma_cell,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,histiocyte,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,melanophage,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,neutrophil,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,stroma,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,epithelium,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
1,LORA_EXCLUDED_frozen,NOT RECORDED IN ORIGINAL RUN,NOT RECORDED IN ORIGINAL RUN,5,train,endothelium,3,3,1.0,1.0,1.0,3,0,0,[],NOT RECORDED IN ORIGINAL RUN
