run_id,seed,roi,roi_fixed10_f1,semantic_annotation_rows,summary_sha256
p6_A_D300_s43,43,training_set_primary_roi_036,0.06666666666666667,4,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_037,0.2,4,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_040,0.06666666666666667,7,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_052,0.15714285714285717,9,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_057,0.27999999999999997,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_058,0.2,7,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_062,0.1,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_064,0.3,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_067,0.36666666666666664,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_068,0.06666666666666667,6,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_075,0.1,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_082,0.26666666666666666,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_083,0.2,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_086,0.06666666666666667,5,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_091,0.2,2,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_096,0.1,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
p6_A_D300_s43,43,training_set_primary_roi_098,0.1,3,8a5e7562b1a44bb4d0f503e78a875a253174e84a17c7b5609ce9b2b393a253ee
