architecture,seed,uid,class,category,classification_delta,dice,iou,area_relative_error,correction_norm,index
A5,17,training_set_primary_roi_032:212,lymphocyte,both_wrong,0,0.9798994974874372,0.9605911330049262,0.03940886699507389,1.6257203817367554,268
A5,17,training_set_primary_roi_032:311,tumor,both_correct,0,0.9769585253456221,0.954954954954955,0.04504504504504504,3.4069509506225586,269
A5,17,training_set_primary_roi_032:387,stroma,both_wrong,0,0.9580246913580247,0.919431279620853,0.08056872037914692,0.5559911727905273,270
A5,17,training_set_primary_roi_034:138,tumor,both_correct,0,0.9706439393939394,0.9429622815087396,0.05703771849126035,0.4469231963157654,276
A5,17,training_set_primary_roi_034:241,epithelium,both_wrong,0,0.9744279946164199,0.9501312335958005,0.04216073781291173,0.5732942819595337,277
A5,17,training_set_primary_roi_036:160,tumor,both_correct,0,0.7831978319783198,0.643652561247216,0.49324324324324326,0.3881586790084839,278
A5,17,training_set_primary_roi_036:276,epithelium,both_correct,0,0.935361216730038,0.8785714285714286,0.104,1.2376600503921509,279
A5,17,training_set_primary_roi_036:441,stroma,both_wrong,0,0.8994899489948995,0.8173391494002181,0.10947249007373795,1.3507598638534546,280
A5,17,training_set_primary_roi_036:510,tumor,both_wrong,0,0.9569160997732427,0.9173913043478261,0.08260869565217391,2.922071695327759,281
A5,17,training_set_primary_roi_037:140,plasma_cell,both_wrong,0,0.9863945578231292,0.9731543624161074,0.027586206896551724,2.019988775253296,282
A5,17,training_set_primary_roi_037:198,stroma,both_correct,0,0.9788434414668548,0.9585635359116023,0.0028169014084507044,4.030151844024658,283
A5,17,training_set_primary_roi_037:245,melanophage,both_wrong,0,0.9567164179104478,0.9170243204577968,0.08297567954220315,1.2392034530639648,284
A5,17,training_set_primary_roi_038:206,epithelium,both_wrong,0,0.8008474576271186,0.6678445229681979,0.3482587064676617,1.0570229291915894,285
A5,17,training_set_primary_roi_038:225,endothelium,both_correct,0,0.7752126366950183,0.6329365079365079,0.5638629283489096,1.2595230340957642,286
A5,17,training_set_primary_roi_039:395,tumor,both_wrong,0,0.9833110814419226,0.9671700590938936,0.004013377926421404,4.994287967681885,287
A5,17,training_set_primary_roi_040:3,epithelium,both_correct,0,0.9654135338345865,0.9331395348837209,0.06686046511627906,1.1401654481887817,288
A5,17,training_set_primary_roi_041:6,melanophage,both_correct,0,0.9611992945326279,0.9252971137521222,0.05434782608695652,2.4237799644470215,289
A5,17,training_set_primary_roi_041:402,stroma,both_wrong,0,0.4720496894409938,0.3089430894308943,1.631578947368421,3.0878031253814697,290
A5,17,training_set_primary_roi_042:5,tumor,both_wrong,0,0.9421965317919075,0.8907103825136612,0.10410958904109589,1.9693630933761597,291
A5,17,training_set_primary_roi_042:13,tumor,both_wrong,0,0.8071748878923767,0.6766917293233082,0.3978494623655914,2.2238619327545166,292
A5,17,training_set_primary_roi_042:56,tumor,both_wrong,0,0.9790874524714829,0.9590316573556797,0.03731343283582089,0.3086886703968048,293
