prompt,experiment_group,scenario_id,run_id,seed,fold,phase,epoch,split,class_name,support,predicted,precision,recall,f1,TP,FP,FN,dominant_confusion
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,endothelium,18,12,0.3333333333333333,0.2222222222222222,0.26666666666666666,4,8,14,"[[""histiocyte"",4],[""melanophage"",3],[""lymphocyte"",2],[""plasma_cell"",2],[""epithelium"",2],[""tumor"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,4,dev,apoptosis,18,10,0.3,0.16666666666666666,0.21428571428571427,3,7,15,"[[""tumor"",3],[""neutrophil"",3],[""stroma"",3],[""lymphocyte"",2],[""histiocyte"",2],[""endothelium"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,tumor,71,58,0.8793103448275862,0.7183098591549296,0.7906976744186046,51,7,20,"[[""apoptosis"",14],[""epithelium"",3],[""melanophage"",2],[""plasma_cell"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,lymphocyte,37,37,0.7297297297297297,0.7297297297297297,0.7297297297297297,27,10,10,"[[""apoptosis"",4],[""melanophage"",2],[""stroma"",2],[""endothelium"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,plasma_cell,24,18,0.8888888888888888,0.6666666666666666,0.7619047619047619,16,2,8,"[[""lymphocyte"",4],[""tumor"",1],[""melanophage"",1],[""endothelium"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,histiocyte,24,13,0.9230769230769231,0.5,0.6486486486486487,12,1,12,"[[""tumor"",2],[""lymphocyte"",2],[""melanophage"",2],[""endothelium"",2],[""plasma_cell"",1],[""neutrophil"",1],[""stroma"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,melanophage,24,31,0.6451612903225806,0.8333333333333334,0.7272727272727273,20,11,4,"[[""tumor"",1],[""lymphocyte"",1],[""epithelium"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,neutrophil,24,25,0.96,1.0,0.9795918367346939,24,1,0,[]
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,stroma,24,17,0.7647058823529411,0.5416666666666666,0.6341463414634146,13,4,11,"[[""apoptosis"",4],[""melanophage"",3],[""lymphocyte"",2],[""histiocyte"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,epithelium,24,24,0.8333333333333334,0.8333333333333334,0.8333333333333334,20,4,4,"[[""tumor"",2],[""apoptosis"",2]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,endothelium,24,29,0.7586206896551724,0.9166666666666666,0.8301886792452831,22,7,2,"[[""melanophage"",1],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,train,apoptosis,24,48,0.4166666666666667,0.8333333333333334,0.5555555555555556,20,28,4,"[[""tumor"",1],[""lymphocyte"",1],[""stroma"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,dev,tumor,58,43,0.6046511627906976,0.4482758620689655,0.5148514851485149,26,17,32,"[[""apoptosis"",14],[""melanophage"",7],[""endothelium"",4],[""histiocyte"",3],[""lymphocyte"",2],[""stroma"",1],[""epithelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,dev,lymphocyte,23,23,0.43478260869565216,0.43478260869565216,0.43478260869565216,10,13,13,"[[""apoptosis"",5],[""tumor"",3],[""melanophage"",2],[""histiocyte"",1],[""stroma"",1],[""endothelium"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,dev,plasma_cell,18,3,0.6666666666666666,0.1111111111111111,0.19047619047619047,2,1,16,"[[""lymphocyte"",3],[""melanophage"",3],[""neutrophil"",3],[""endothelium"",3],[""apoptosis"",3],[""tumor"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,dev,histiocyte,18,7,0.14285714285714285,0.05555555555555555,0.08,1,6,17,"[[""endothelium"",7],[""melanophage"",5],[""lymphocyte"",2],[""tumor"",1],[""plasma_cell"",1],[""stroma"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,dev,melanophage,18,33,0.3939393939393939,0.7222222222222222,0.5098039215686274,13,20,5,"[[""tumor"",2],[""endothelium"",2],[""apoptosis"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,dev,neutrophil,18,15,0.5333333333333333,0.4444444444444444,0.48484848484848486,8,7,10,"[[""apoptosis"",6],[""endothelium"",3],[""tumor"",1]]"
6,A,p6_A_D300,p6_A_D300_s17,17,NOT APPLICABLE,joint,5,dev,stroma,18,11,0.45454545454545453,0.2777777777777778,0.3448275862068966,5,6,13,"[[""apoptosis"",6],[""lymphocyte"",4],[""tumor"",2],[""neutrophil"",1]]"
